AL    Mike Rogers        R    Y       Y     Y     N
TX    Chris Bell         D    Y       N     Y     Y
OH    Patrick Tiberi     R    Y       Y     Y     N
FL    Tom Feeney         R    Y       Y     Y     N
TX    Ruben Hinojosa     D    Y       Y     Y     Y
OH    Marcy Kaptur       D    Y       Y     N     Y
KY    Edward Whitfield   R    Y       Y     Y     N
MI    Carolyn Kilpatrick D    N       N     N     Y
NC    Bob Etheridge      D    Y       Y     N     N
MS    Charles Pickering  R    Y       Y     Y     N
VT    Bernard Sanders    D    N       N     N     Y
MA    Michael Capuano    D    N       N     N     Y
KS    Jerry Moran        R    Y       Y     Y     Y
IL    Mark Kirk          R    Y       N     N     N
MA    Edward Markey      D    N       N     N     Y
AZ    John Hayworth      R    Y       Y     Y     Y
TX    John Carter        R    Y       Y     Y     N
MT    Dennis Rehberg     R    Y       Y     Y     Y
NJ    James Saxton       R    Y       Y     N     N
GA    Sanford Bishop     D    Y       Y     Y     Y
CA    Juanita Millender  D    Y       N     N     N
PA    Chaka Fattah       D    N       N     -     Y
IL    Gerald Weller      R    Y       Y     Y     N
FL    Ander Crenshaw     R    Y       Y     Y     N
TN    Jim Cooper         D    N       Y     N     Y
AZ    Jeff Flake         R    N       Y     Y     Y
IA    Steve King         R    Y       Y     Y     Y
CA    Henry Waxman       D    N       N     -     N
FL    Porter Goss        R    Y       Y     Y     N
IL    Rahm Emanuel       D    N       N     N     Y
IL    Judy Biggert       R    Y       Y     Y     N
TX    Ciro Rodriguez     D    Y       N     Y     Y
GA    Jack Kingston      R    Y       Y     Y     Y
OR    Darlene Hooley     D    N       N     N     Y
NE    Douglas Bereuter   R    Y       Y     Y     Y
MA    Steven Lynch       D    Y       Y     N     Y
OR    David Wu           D    N       N     N     Y
MA    Martin Meehan      D    N       N     N     Y
UT    Rob Bishop         R    Y       Y     Y     N
PA    John Murtha        D    Y       Y     Y     Y
WI    Ronald Kind        D    N       N     N     Y
NY    Carolyn McCarthy   D    Y       N     N     Y
CA    Calvin Dooley      D    Y       N     Y     N
KY    Ron Lewis          R    Y       -     Y     N
IL    Ray LaHood         R    Y       Y     Y     Y
CA    Jane Harman        D    Y       N     N     Y
PA    Joseph Hoeffel     D    N       N     N     Y
TX    Nicholas Lampson   D    Y       Y     Y     Y
NC    John Coble         D    Y       Y     Y     N
OH    John Boehner       R    Y       Y     Y     N
NE    Thomas Osborne     R    Y       Y     Y     Y
IA    James Nussle       R    Y       Y     Y     N
MO    Roy Blunt          R    Y       Y     Y     N
TX    Sheila Lee         D    N       N     Y     Y
MA    William Delahunt   D    Y       N     N     Y
MI    Bart Stupak        D    Y       Y     N     Y
NM    Steven Pearce      R    Y       Y     Y     N
FL    I. Ros-Lehtinen    R    Y       Y     Y     N
RI    Patrick Kennedy    D    N       Y     N     Y
MO    Todd Akin          R    Y       Y     Y     N
CO    Diana DeGette      D    N       N     N     N
CA    Howard McKeon      R    Y       Y     Y     Y
IL    Jesse Jackson      D    N       N     N     Y
CA    Gary Miller        R    Y       Y     Y     N
ID    Michael Simpson    R    Y       Y     Y     Y
IL    Luis Gutierrez     D    Y       N     N     -
OR    Greg Walden        R    Y       Y     Y     N
MA    James McGovern     D    Y       N     N     Y
CA    Mary Bono          R    Y       Y     -     Y
VA    Frederick Boucher  D    N       N     Y     Y
CA    Hilda Solis        D    N       N     N     Y
PA    John Peterson      R    Y       Y     Y     Y
PA    Jim Gerlach        R    Y       Y     Y     N
NY    Gregory Meeks      D    N       N     N     N
FL    Peter Deutsch      D    Y       N     N     Y
FL    Allen Boyd         D    Y       Y     N     Y
MO    William Clay       D    N       N     N     Y
LA    James McCrery      R    Y       Y     Y     N
VA    Edward Schrock     R    Y       Y     Y     Y
NC    Sue Myrick         R    Y       Y     Y     Y
MO    Richard Gephardt   D    -       -     -     -
MI    John Conyers       D    -       N     N     Y
WA    Rick Larsen        D    N       N     N     Y
TX    Ronald Paul        R    N       Y     -     Y
TX    Eddie Johnson      D    N       N     Y     N
CO    Mark Udall         D    N       N     N     N
NY    Eliot Engel        D    N       N     N     Y
FL    Clay Shaw          R    Y       Y     Y     Y
CA    Anna Eshoo         D    N       -     N     N
VA    Eric Cantor        R    Y       Y     Y     N
VA    Frank Wolf         R    Y       Y     Y     Y
UT    Chris Cannon       R    Y       Y     Y     N
NJ    Donald Payne       D    N       N     N     N
CO    Bob Beauprez       R    Y       Y     Y     N
CA    Ellen Tauscher     D    N       N     N     N
GA    John Lewis         D    N       N     N     Y
CA    Adam Schiff        D    N       N     N     Y
SC    Addison Wilson     R    Y       Y     Y     N
KS    Todd Tiahrt        R    Y       Y     Y     N
IL    Danny Davis        D    N       N     N     Y
GA    John Isakson       R    Y       Y     Y     N
VA    Robert Scott       D    N       N     N     Y
OH    Denis Kucinich     D    Y       N     N     Y
NY    Edolphus Towns     D    Y       N     -     N
FL    Ric Keller         R    Y       Y     Y     N
TX    Charles Gonzalez   D    N       N     N     Y
CA    Edward Royce       R    Y       Y     Y     Y
LA    David Vitter       R    Y       Y     Y     Y
NJ    Rush Holt          D    N       N     N     N
FL    M. Diaz-Balart     R    Y       Y     Y     N
TX    John Frost         D    Y       N     Y     Y
IL    Dennis Hastert     R    -       Y     Y     N
CA    Brad Sherman       D    Y       N     N     N
IL    Jerry Costello     D    Y       Y     Y     Y
MA    John Tierney       D    N       N     N     Y
NJ    Scott Garrett      R    Y       Y     Y     Y
SC    James Clyburn      D    Y       N     N     N
CA    Maxine Waters      D    N       N     N     Y
NY    Jerrold Nadler     D    N       N     N     Y
ID    Clement Otter      R    Y       Y     Y     Y
HI    Ed Case            D    N       N     N     Y
CA    George Radanovich  R    Y       Y     Y     N
TX    Henry Bonilla      R    Y       Y     Y     N
NC    Robert Hayes       R    Y       Y     Y     N
FL    John Mica          R    Y       Y     Y     Y
NE    Lee Terry          R    Y       Y     Y     N
CA    Zoe Lofgren        D    N       -     N     N
IN    Baron Hill         D    N       Y     N     N
